"pop";"Larvicide";"p";"n";"dose";"LCL";"UCL";"LCL_dis";"UCL_dis";"chi_square";"df";"pgof_sig";"h";"slope";"slope_se";"slope_sig";"intercept";"intercept_se";"intercept_sig";"z";"var_m"
"An_gambiae";"Bactivec";50;24;0.672959983122215;0.561671706621224;0.786165425492923;0.111288276500991;0.113205442370708;11.9732087674079;22;0.957929889065098;1;2.53030176728311;0.30310858691818;6.95230921363273e-17;0.435239129730865;0.0899540967983212;1.30850262468992e-06;8.34783927769796;0.282150591068907
"An_gambiae";"Bactivec";95;24;3.00643263480474;2.26982968337258;4.62357823840854;0.736602951432159;1.6171456036038;11.9732087674079;22;0.957929889065098;1;2.53030176728311;0.30310858691818;6.95230921363273e-17;0.435239129730865;0.0899540967983212;1.30850262468992e-06;8.34783927769796;0.157221494032605
"An_gambiae";"Griselesf";50;24;1.99666387037068;1.67508399908867;2.37537200005168;0.321579871282006;0.378708129681004;21.3206956361182;22;0.501001326846454;1;1.9704274573646;0.151896979705566;1.76067289063715e-38;-0.591729137678238;0.0895093957847459;3.82236394182343e-11;12.9721305926163;0.062999921242442
"An_gambiae";"Griselesf";95;24;13.648185225639;10.1594147093386;20.0190084452985;3.48877051630042;6.3708232196595;21.3206956361182;22;0.501001326846454;1;1.9704274573646;0.151896979705566;1.76067289063715e-38;-0.591729137678238;0.0895093957847459;3.82236394182343e-11;12.9721305926163;0.0163502554362328
"An_gambiae";"Bactivec+Griselesf";50;24;1.3514323531589;1.12170135264585;1.61277014726895;0.229731000513049;0.261337794110048;22.3204303728582;22;0.440907775872729;1;1.92855383818157;0.158349619380538;4.01752511351735e-34;-0.25224387180472;0.0824552406971159;0.00221957694711266;12.17908729889;0.342508949905649
"An_gambiae";"Bactivec+Griselesf";95;24;9.63139416452448;7.15272862727265;14.2599746737917;2.47866553725183;4.62858050926718;22.3204303728582;22;0.440907775872729;1;1.92855383818157;0.158349619380538;4.01752511351735e-34;-0.25224387180472;0.0824552406971159;0.00221957694711266;12.17908729889;0.0214645630249988
"Culex_pipens";"Bactivec";50;24;2.21464224942117;1.82349217615022;2.68077918481587;0.391150073270943;0.466136935394703;18.3359729067996;22;0.685893023460378;1;1.68777457090642;0.134342877470813;3.36504141190845e-36;-0.582794602967237;0.0870506280786149;2.15830133813305e-11;12.5631861002315;0.0424840458797834
"Culex_pipens";"Bactivec";95;24;20.8868566030548;14.8150892517321;32.8263444427171;6.07176735132268;11.9394878396623;18.3359729067996;22;0.685893023460378;1;1.68777457090642;0.134342877470813;3.36504141190845e-36;-0.582794602967237;0.0870506280786149;2.15830133813305e-11;12.5631861002315;0.0121639644821
"Culex_pipens";"Griselesf";50;24;0.67922357714423;0.582213638484373;0.779581090065166;0.0970099386598566;0.100357512920937;2.38490437841487;22;0.999999941537148;1;2.91660998648904;0.385048307108029;3.60069548431064e-14;0.489953283117913;0.100011411602125;9.63384980906833e-07;7.57465993915086;0.293283953063604
"Culex_pipens";"Griselesf";95;24;2.48870561246431;1.89384267915999;3.87666236212892;0.594862933304316;1.3879567496646;2.38490437841487;22;0.999999941537148;1;2.91660998648904;0.385048307108029;3.60069548431064e-14;0.489953283117913;0.100011411602125;9.63384980906833e-07;7.57465993915086;0.300898886629583
"Culex_pipens";"Bactivec+Griselesf";50;24;0.503708573844492;0.463192867846495;0.539518498721917;0.0405157059979975;0.0358099248774246;8.59252789933745;22;0.995205166566619;1;7.81123746321758;1.308134460118;2.35398978611231e-09;2.3263478714239;0.373305786608775;4.61256825134188e-10;5.97128024783706;0.173558784473728
"Culex_pipens";"Bactivec+Griselesf";95;24;0.818002512188275;0.725168540831392;1.02171912764133;0.0928339713568835;0.203716615453051;8.59252789933745;22;0.995205166566619;1;7.81123746321758;1.308134460118;2.35398978611231e-09;2.3263478714239;0.373305786608775;4.61256825134188e-10;5.97128024783706;9.40713134008751
